trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_pickup,continuous_drop_off
31,06:20:53,06:20:53,node/7078406239,3,,,,,0,,
31,06:27:46,06:27:46,node/7078406238,4,,,,,0,,
31,06:32:17,06:32:17,node/11035914865,5,,,,,0,,
31,06:37:36,06:37:36,node/7084932743,6,,,,,0,,
31,06:46:00,06:46:00,node/7074504387,7,,,,,1,,
32,06:00:00,06:00:00,node/7080251776,1,,,,,1,,
32,06:04:50,06:04:50,node/7037142479,2,,,,,0,,
32,06:07:36,06:07:36,node/7074330401,3,,,,,0,,
32,06:12:24,06:12:24,node/7022397411,4,,,,,0,,
32,06:14:06,06:14:06,node/7037183491,5,,,,,0,,
32,06:17:44,06:17:44,node/7098810331,6,,,,,0,,
32,06:26:40,06:26:40,node/7098810332,7,,,,,0,,
32,06:31:21,06:31:21,node/7098810333,8,,,,,0,,
32,06:42:19,06:42:19,node/7098810334,9,,,,,0,,
32,07:02:09,07:02:09,node/7098810335,10,,,,,0,,
32,07:07:21,07:07:21,node/7098810336,11,,,,,0,,
32,07:09:27,07:09:27,node/7098810337,12,,,,,0,,
32,07:12:00,07:12:00,node/7098810338,13,,,,,1,,
33,06:00:00,06:00:00,node/7098810345,1,,,,,1,,
33,06:09:03,06:09:03,node/7098810344,2,,,,,0,,
33,06:11:41,06:11:41,node/7098810343,3,,,,,0,,
33,06:18:20,06:18:20,node/7098810342,4,,,,,0,,
33,06:21:30,06:21:30,node/7098810341,5,,,,,0,,
33,06:26:51,06:26:51,node/7098810340,6,,,,,0,,
33,06:29:06,06:29:06,node/7037183490,7,,,,,0,,
33,06:30:10,06:30:10,node/7080251774,8,,,,,0,,
33,06:32:34,06:32:34,node/7074330400,9,,,,,0,,
33,06:35:09,06:35:09,node/7037142483,10,,,,,0,,
33,06:36:09,06:36:09,node/7080251773,11,,,,,0,,
33,06:37:42,06:37:42,node/7070861713,12,,,,,0,,
33,06:41:00,06:41:00,node/7037142441,13,,,,,1,,
34,06:00:00,06:00:00,node/7049921445,1,,,,,1,,
34,06:11:47,06:11:47,node/7037142475,2,,,,,0,,
34,06:15:30,06:15:30,node/7037183494,3,,,,,0,,
34,06:19:48,06:19:48,node/7037183495,4,,,,,0,,
34,06:23:28,06:23:28,node/7098833738,5,,,,,0,,
34,06:29:49,06:29:49,node/7098833737,6,,,,,0,,
34,06:31:18,06:31:18,node/7098833736,7,,,,,0,,
34,06:36:34,06:36:34,node/7074330397,8,,,,,0,,
34,06:40:39,06:40:39,node/7074330394,9,,,,,0,,
34,06:44:29,06:44:29,node/7074330392,10,,,,,0,,
34,06:47:02,06:47:02,node/7076294507,11,,,,,0,,
34,06:49:39,06:49:39,node/7074330389,12,,,,,0,,
34,06:51:27,06:51:27,node/7098833735,13,,,,,0,,
34,06:53:00,06:53:00,node/7074330387,14,,,,,1,,
35,06:00:00,06:00:00,node/7037183532,1,,,,,1,,
35,06:03:13,06:03:13,node/7037183529,2,,,,,0,,
35,06:05:56,06:05:56,node/7074330391,3,,,,,0,,
35,06:08:40,06:08:40,node/7098833732,4,,,,,0,,
35,06:12:21,06:12:21,node/7037183527,5,,,,,0,,
35,06:16:15,06:16:15,node/7037183525,6,,,,,0,,
35,06:21:36,06:21:36,node/7098833731,7,,,,,0,,
35,06:29:17,06:29:17,node/7098833730,8,,,,,0,,
35,06:33:33,06:33:33,node/7098833729,9,,,,,0,,
35,06:37:30,06:37:30,node/7037183493,10,,,,,0,,
35,06:42:00,06:42:00,node/7098833728,11,,,,,1,,
36,06:00:00,06:00:00,node/7074269464,1,,,,,1,,
36,06:00:44,06:00:44,node/7102193976,2,,,,,0,,
36,06:07:03,06:07:03,node/7074496225,3,,,,,0,,
36,06:15:15,06:15:15,node/7102193975,4,,,,,0,,
36,06:18:51,06:18:51,node/7074496222,5,,,,,0,,
36,06:20:52,06:20:52,node/7074496219,6,,,,,0,,
36,06:24:44,06:24:44,node/7074496218,7,,,,,0,,
36,06:38:49,06:38:49,node/7102193974,8,,,,,0,,
36,06:40:09,06:40:09,node/7102193973,9,,,,,0,,
36,06:41:44,06:41:44,node/7041071610,10,,,,,0,,
36,06:43:33,06:43:33,node/7041071608,11,,,,,0,,
36,06:45:31,06:45:31,node/7041071606,12,,,,,0,,
36,06:47:08,06:47:08,node/7102193972,13,,,,,0,,
36,06:49:11,06:49:11,node/7102193971,14,,,,,0,,
36,06:50:00,06:50:00,node/7074324044,15,,,,,1,,
37,06:00:00,06:00:00,node/7077863009,1,,,,,1,,
37,06:01:13,06:01:13,node/7102269985,2,,,,,0,,
37,06:04:33,06:04:33,node/7102193983,3,,,,,0,,
37,06:10:00,06:10:00,node/7041071612,4,,,,,0,,
37,06:12:04,06:12:04,node/7041071614,5,,,,,0,,
37,06:19:06,06:19:06,node/7041071616,6,,,,,0,,
37,06:23:07,06:23:07,node/7102193982,7,,,,,0,,
37,06:29:20,06:29:20,node/7102193981,8,,,,,0,,
37,06:34:05,06:34:05,node/7102193980,9,,,,,0,,
37,06:35:07,06:35:07,node/7074496217,10,,,,,0,,
37,06:38:27,06:38:27,node/7047495432,11,,,,,0,,
37,06:42:39,06:42:39,node/7074496221,12,,,,,0,,
37,06:52:42,06:52:42,node/7102193979,13,,,,,0,,
37,06:56:00,06:56:00,node/7102193978,14,,,,,0,,
37,06:59:12,06:59:12,node/6967318740,15,,,,,0,,
37,07:07:47,07:07:47,node/7102193977,16,,,,,0,,
37,07:09:00,07:09:00,node/7074269465,17,,,,,1,,
38,06:00:00,06:00:00,node/7103202625,1,,,,,1,,
38,06:09:56,06:09:56,node/7103202623,2,,,,,0,,
38,06:13:09,06:13:09,node/7041052932,3,,,,,0,,
38,06:15:45,06:15:45,node/7041052935,4,,,,,0,,
38,06:18:47,06:18:47,node/7074561391,5,,,,,0,,
38,06:21:04,06:21:04,node/7049122265,6,,,,,0,,
38,06:24:36,06:24:36,node/7103202622,7,,,,,0,,
38,06:27:31,06:27:31,node/7103202621,8,,,,,0,,
38,06:28:54,06:28:54,node/7041071291,9,,,,,0,,
38,06:31:00,06:31:00,node/7103202620,10,,,,,1,,
39,06:00:00,06:00:00,node/7103202619,1,,,,,1,,
39,06:06:45,06:06:45,node/7074841188,2,,,,,0,,
39,06:12:48,06:12:48,node/7074561393,3,,,,,0,,
39,06:19:21,06:19:21,node/7074561394,4,,,,,0,,
39,06:25:01,06:25:01,node/7078164251,5,,,,,0,,
39,06:30:13,06:30:13,node/7103202617,6,,,,,0,,
39,06:35:20,06:35:20,node/7041052934,7,,,,,0,,
39,06:40:44,06:40:44,node/7103202616,8,,,,,0,,
39,06:43:22,06:43:22,node/7041052953,9,,,,,0,,
39,07:03:00,07:03:00,node/7103202615,10,,,,,1,,
40,06:00:00,06:00:00,node/7041071579,1,,,,,1,,
40,06:01:33,06:01:33,node/7055598739,2,,,,,0,,
40,06:03:58,06:03:58,node/7055598738,3,,,,,0,,
40,06:07:53,06:07:53,node/7041071480,4,,,,,0,,
40,06:11:29,06:11:29,node/7104888674,5,,,,,0,,
40,06:14:51,06:14:51,node/7037142431,6,,,,,0,,
40,06:19:43,06:19:43,node/7037142436,7,,,,,0,,
40,06:23:43,06:23:43,node/7037142439,8,,,,,0,,
